feature,rf_importance,xgb_importance,mean_importance
$\mu^c$,0.13675534986205387,0.08107687,0.10891610887024546
$\beta^c$,0.08467928987233994,0.06102674,0.07285301534577786
policy_mean_E2_Debt/contract relief,0.014710783633575569,0.11097416,0.06284247322528845
growth_rate_max,0.04807669129229821,0.06829712,0.05818690462041516
$\sigma^c$,0.09377654856832456,0.0140204765,0.05389851252929186
policy_slope_C4M_Restrictions on gatherings,0.005922260373016867,0.089158416,0.04754033808369471
growth_rate_mean,0.0533427520107888,0.016955981,0.03514936652092451
Re,0.04314066981418446,0.024795631,0.033968150380469936
$Delta^c$,0.0021279507036118255,0.0655299,0.033828924256320225
R0,0.04008991320164295,0.021802543,0.030946227966404418
policy_mean_C2M_Workplace closing,0.00843134201223259,0.049243413,0.028837377462062264
policy_slope_C1M_School closing,0.009950465197290401,0.040251292,0.025100878742796887
growth_rate,0.03149136291394304,0.016679415,0.024085389196622724
policy_mean_C4M_Restrictions on gatherings,0.018117885401360154,0.028854756,0.023486320543046772
policy_mean_C1M_School closing,0.026837970664252253,0.019296277,0.023067123989338384
$Policy^c$,0.02934585863303875,0.015436768,0.022391313116757745
policy_slope_C7M_Restrictions on internal movement,0.004385498384005191,0.03585,0.02011774901020843
policy_start_StringencyIndex_Average,0.027645694715841322,0.011215531,0.019430612991533532
policy_slope_C3M_Cancel public events,0.008064780004526076,0.026895944,0.01748036201680943
policy_mean_C3M_Cancel public events,0.014600511836319472,0.019669654,0.017135082842066537
policy_mean_StringencyIndex_Average,0.023918667621061467,0.008218197,0.01606843238654001
sir_fit_r2,0.02564286705506168,0.006286426,0.015964646518366148
policy_mean_E1_Income support,0.006931524408001877,0.024753194,0.01584235935516118
$Policy^p$,0.021089931752905862,0.008704215,0.014897073520534047
policy_slope_StringencyIndex_Average,0.014598452380960865,0.013358165,0.013978308479818544
policy_slope_E2_Debt/contract relief,0.004492444522967944,0.019904157,0.012198300834889715
doubling_time,0.01669188855290669,0.0061693266,0.01143060757815966
policy_end_StringencyIndex_Average,0.018065011430733153,0.0037063381,0.010885674773816143
policy_slope_C6M_Stay at home requirements,0.002606202792039433,0.018634561,0.010620382120664377
$Omicron^c$,0.0032677672040873603,0.017489852,0.010378809793910078
policy_mean_C7M_Restrictions on internal movement,0.01079997862398458,0.0064393925,0.00861968553945339
policy_end_C4M_Restrictions on gatherings,0.005001973801546232,0.010283444,0.007642708939161368
policy_end_C1M_School closing,0.009887604298145676,0.0053819874,0.007634795864150477
policy_end_C3M_Cancel public events,0.013538357229633492,0.0011611109,0.007349734083148768
policy_slope_E1_Income support,0.0006424176656654451,0.012883693,0.006763055322739034
policy_start_C1M_School closing,0.007394993594616737,0.005698763,0.006546878214344425
policy_end_E2_Debt/contract relief,0.012393187331241373,0.0,0.006196593665620686
policy_mean_H7_Vaccination policy,0.01045943055917716,0.0007676907,0.005613560635415941
policy_start_E2_Debt/contract relief,0.009863616707612287,0.0,0.0049318083538061434
Week,0.005004191401024029,0.0034938522,0.004249021807955883
policy_slope_C2M_Workplace closing,0.0040849606573145295,0.00368966,0.003887310324773724
policy_start_C2M_Workplace closing,0.007012365843404646,0.0002701024,0.0036412341246626354
policy_slope_H7_Vaccination policy,0.006275558897044224,0.0,0.003137779448522112
policy_mean_C8EV_International travel controls,0.005331112917812406,0.00077426684,0.0030526898781870746
policy_slope_C8EV_International travel controls,0.0022936526799675863,0.0032690582,0.0027813554332642276
policy_end_C2M_Workplace closing,0.0049053726254065285,0.0002884148,0.002596893711692502
policy_start_C4M_Restrictions on gatherings,0.003536119337184903,0.0012854763,0.002410797799001722
policy_start_H7_Vaccination policy,0.0045451852285885155,0.0,0.0022725926142942578
sir_reliable,0.004425812469034541,0.0,0.0022129062345172703
policy_end_C8EV_International travel controls,0.0037020973296571238,0.0,0.0018510486648285619
policy_start_C3M_Cancel public events,0.0036075126746825726,0.0,0.0018037563373412863
policy_mean_C6M_Stay at home requirements,0.003605199131265172,0.0,0.001802599565632586
policy_end_H7_Vaccination policy,0.003452153300688147,0.0,0.0017260766503440735
policy_end_E1_Income support,0.0031587518323661144,0.0,0.0015793759161830572
policy_start_E1_Income support,0.0030596910905145765,0.0,0.0015298455452572883
policy_start_C6M_Stay at home requirements,0.002820045269083712,0.0,0.001410022634541856
policy_end_C7M_Restrictions on internal movement,0.002316791333903872,0.0,0.001158395666951936
policy_start_C7M_Restrictions on internal movement,0.0019076762337624118,0.0,0.0009538381168812059
policy_end_C6M_Stay at home requirements,0.0017836820296796918,0.0,0.0008918410148398459
policy_start_C8EV_International travel controls,0.0015072394254938052,0.0,0.0007536197127469026
policy_end_H2_Testing policy,0.001257752381034939,0.0,0.0006288761905174695
policy_mean_H2_Testing policy,0.0008104911327729166,5.7739482e-05,0.00043411530745887086
policy_slope_H2_Testing policy,0.00026732312334086067,0.0,0.00013366156167043033
policy_mean_H3_Contact tracing,0.00022604236333605992,0.0,0.00011302118166802996
policy_start_H2_Testing policy,0.0001915604095539197,0.0,9.578020477695986e-05
policy_slope_H3_Contact tracing,0.00013176225508666043,0.0,6.588112754333021e-05
policy_start_H3_Contact tracing,0.0,0.0,0.0
policy_end_H3_Contact tracing,0.0,0.0,0.0
policy_end_H1_Public information campaigns,0.0,0.0,0.0
policy_start_H1_Public information campaigns,0.0,0.0,0.0
policy_mean_H1_Public information campaigns,0.0,0.0,0.0
